Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Constant_10,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
Constant_25769,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_8,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Concat_2,Concat,0.0,0.0,32.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4,4,32.0,0.0,32.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Reshape_2,Reshape,0.0,0.0,1310720.0,0.0046,0.0,0.0046,"1x256x1280, 4",1x256x20x64,,327684,327680,1310752.0,0.0,1310720.0,0.0,1.0,1.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Transpose_1,Transpose,0.0,0.0,1310720.0,0.0046,0.0,0.0046,1x256x20x64,1x20x256x64,,327680,327680,1310720.0,0.0,1310720.0,0.0,1.0,1.0
Constant_25776,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_9,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
Constant_25778,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_10,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
Constant_25780,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Unsqueeze_11,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Concat_3,Concat,0.0,0.0,24.0,0.0,0.0,0.0,"1, 1, 1",3,,3,3,24.0,0.0,24.0,0.0,0.0,0.0
/up_blocks.0/attentions.2/transformer_blocks.9/attn1/Reshape_3,Reshape,0.0,0.0,1310720.0,0.0046,0.0,0.0046,"1x20x256x64, 3",20x256x64,,327683,327680,1310744.0,0.0,1310720.0,0.0,1.0,1.0
