Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes)
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_5,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_6,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
Constant_1546,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_3,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat_1,Concat,0.0,0.0,32.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4,4,32.0,0.0,32.0
Constant_1549,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_4,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_7,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_8,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
Constant_1553,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Unsqueeze_5,Unsqueeze,0.0,0.0,8.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Concat_2,Concat,0.0,0.0,32.0,0.0,0.0,0.0,"1, 1, 1, 1",4,,4,4,32.0,0.0,32.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape,Reshape,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x4096x320, 4",1x4096x5x64,,1310724,1310720,5242912.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose,Transpose,0.0,0.0,5242880.0,0.04,0.0,0.04,1x4096x5x64,1x5x4096x64,,1310720,1310720,5242880.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape_1,Reshape,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x4096x320, 4",1x4096x5x64,,1310724,1310720,5242912.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Reshape_2,Reshape,0.0,0.0,5242880.0,0.04,0.0,0.04,"1x4096x320, 4",1x4096x5x64,,1310724,1310720,5242912.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose_1,Transpose,0.0,0.0,5242880.0,0.04,0.0,0.04,1x4096x5x64,1x5x4096x64,,1310720,1310720,5242880.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Shape_2,Shape,0.0,0.0,32.0,0.0,0.0,0.0,1x5x4096x64,4,,1310720,4,5242880.0,0.0,32.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_9,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_10,Constant,0.0,0.0,8.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Slice,Slice,0.0,0.0,8.0,0.0,0.0,0.0,"4, 1, 1",1,,6,1,48.0,0.0,8.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Cast_2,Cast,0.0,0.0,4.0,0.0,0.0,0.0,1,1,,1,1,8.0,0.0,4.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Sqrt,Sqrt,0.0,0.0,4.0,0.0,0.0,0.0,1,1,,1,1,4.0,0.0,4.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Constant_11,Constant,0.0,0.0,4.0,0.0,0.0,0.0,,1,,0,1,0.0,0.0,4.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Div_1,Div,0.0,0.0,4.0,0.0,0.0,0.0,"1, 1",1,,2,1,8.0,0.0,4.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Cast_3,Cast,0.0,0.0,4.0,0.0,0.0,0.0,1,1,,1,1,4.0,0.0,4.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Transpose_2,Transpose,0.0,0.0,5242880.0,0.04,0.0,0.04,1x4096x5x64,1x5x64x4096,,1310720,1310720,5242880.0,0.0,5242880.0
/down_blocks.0/attentions.0/transformer_blocks.0/attn1/Sqrt_1,Sqrt,0.0,0.0,4.0,0.0,0.0,0.0,1,1,,1,1,4.0,0.0,4.0
