Node,Operator,Number of Params,Params (%),Memory (in Bytes),Memory (%),Compute Operations,Compute Operations (%),Compute-to-Memory Ratio (Operations/Byte),Weights and Bias Memory (%),Output Memory (%),Inputs Shape,Output Shape,Weights and Bias Shape,Inputs Size,Weights and Bias Size,Output Size,Inputs Memory (in Bytes),Weights and Bias Memory (in Bytes),Output Memory (in Bytes),Weights and Bias Memory (in MB),Output Memory (in MB),Memory (in MB)
/model/layers.17/self_attn/Unsqueeze_30,Unsqueeze,0.0,0.0,,,0.0,0.0,,,,1,1,,1.0,0.0,1.0,8.0,,,,,
/model/layers.17/self_attn/Constant_60,Constant,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0.0,0.0,1.0,0.0,0.0,8.0,0.0,8e-06,8e-06
/model/layers.17/self_attn/Concat_11,Concat,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,"1, 1, 1",3,,3.0,0.0,3.0,24.0,0.0,24.0,0.0,2.4e-05,2.4e-05
/model/layers.17/self_attn/Reshape_7,Reshape,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,"1x1x32x128, 3",1x1x4096,,4099.0,0.0,4096.0,8216.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.17/self_attn/o_proj/MatMul,MatMul,16777216.0,0.209,,,16777216.0,0.216,,,,1x1x4096,1x1x4096,4096x4096,4096.0,16777216.0,4096.0,8192.0,,,,,
/model/layers.17/Add,Add,0.0,0.0,8192.0,0.0,4096.0,0.0,0.5,0.0,0.0,"1x1x4096, 1x1x4096",1x1x4096,,8192.0,0.0,4096.0,16384.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.17/post_attention_layernorm/Pow,Pow,0.0,0.0,,,4096.0,0.0,,,,1x1x4096,1x1x4096,,4096.0,0.0,4096.0,8192.0,,,,,
/model/layers.17/post_attention_layernorm/ReduceMean,ReduceMean,0.0,0.0,,,1.0,0.0,,,,1x1x4096,1x1x1,,4096.0,0.0,1.0,8192.0,,,,,
/model/layers.17/post_attention_layernorm/Add,Add,0.0,0.0,,,1.0,0.0,,,,1x1x1,1x1x1,,1.0,0.0,1.0,2.0,,,,,
/model/layers.17/post_attention_layernorm/Sqrt,Sqrt,0.0,0.0,,,1.0,0.0,,,,1x1x1,1x1x1,,1.0,0.0,1.0,2.0,,,,,
/model/layers.17/post_attention_layernorm/Div,Div,0.0,0.0,,,1.0,0.0,,,,1x1x1,1x1x1,,1.0,0.0,1.0,2.0,,,,,
/model/layers.17/post_attention_layernorm/Mul,Mul,0.0,0.0,8192.0,0.0,4096.0,0.0,0.5,0.0,0.0,"1x1x4096, 1x1x1",1x1x4096,,4097.0,0.0,4096.0,8194.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.17/post_attention_layernorm/Mul_1,Mul,4096.0,0.0,,,4096.0,0.0,,,,1x1x4096,1x1x4096,4096,4096.0,4096.0,4096.0,8192.0,,,,,
/model/layers.17/mlp/gate_proj/MatMul,MatMul,58720256.0,0.731,,,58720256.0,0.754,,,,1x1x4096,1x1x14336,4096x14336,4096.0,58720256.0,14336.0,8192.0,,,,,
/model/layers.17/mlp/act_fn/Sigmoid,Sigmoid,0.0,0.0,,,57344.0,0.001,,,,1x1x14336,1x1x14336,,14336.0,0.0,14336.0,28672.0,,,,,
/model/layers.17/mlp/act_fn/Mul,Mul,0.0,0.0,28672.0,0.0,14336.0,0.0,0.5,0.0,0.0,"1x1x14336, 1x1x14336",1x1x14336,,28672.0,0.0,14336.0,57344.0,0.0,28672.0,0.0,0.028672,0.028672
/model/layers.17/mlp/up_proj/MatMul,MatMul,58720256.0,0.731,117469184.0,0.664,58720256.0,0.754,0.5,0.664,0.0,1x1x4096,1x1x14336,4096x14336,4096.0,58720256.0,14336.0,8192.0,117440512.0,28672.0,117.440512,0.028672,117.469184
/model/layers.17/mlp/Mul,Mul,0.0,0.0,28672.0,0.0,14336.0,0.0,0.5,0.0,0.0,"1x1x14336, 1x1x14336",1x1x14336,,28672.0,0.0,14336.0,57344.0,0.0,28672.0,0.0,0.028672,0.028672
/model/layers.17/mlp/down_proj/MatMul,MatMul,58720256.0,0.731,,,58720256.0,0.754,,,,1x1x14336,1x1x4096,14336x4096,14336.0,58720256.0,4096.0,28672.0,,,,,
/model/layers.17/Add_1,Add,0.0,0.0,8192.0,0.0,4096.0,0.0,0.5,0.0,0.0,"1x1x4096, 1x1x4096",1x1x4096,,8192.0,0.0,4096.0,16384.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.18/input_layernorm/Pow,Pow,0.0,0.0,,,4096.0,0.0,,,,1x1x4096,1x1x4096,,4096.0,0.0,4096.0,8192.0,,,,,
/model/layers.18/input_layernorm/ReduceMean,ReduceMean,0.0,0.0,,,1.0,0.0,,,,1x1x4096,1x1x1,,4096.0,0.0,1.0,8192.0,,,,,
/model/layers.18/input_layernorm/Add,Add,0.0,0.0,,,1.0,0.0,,,,1x1x1,1x1x1,,1.0,0.0,1.0,2.0,,,,,
/model/layers.18/input_layernorm/Sqrt,Sqrt,0.0,0.0,,,1.0,0.0,,,,1x1x1,1x1x1,,1.0,0.0,1.0,2.0,,,,,
/model/layers.18/input_layernorm/Div,Div,0.0,0.0,,,1.0,0.0,,,,1x1x1,1x1x1,,1.0,0.0,1.0,2.0,,,,,
/model/layers.18/input_layernorm/Mul,Mul,0.0,0.0,8192.0,0.0,4096.0,0.0,0.5,0.0,0.0,"1x1x4096, 1x1x1",1x1x4096,,4097.0,0.0,4096.0,8194.0,0.0,8192.0,0.0,0.008192,0.008192
/model/layers.18/input_layernorm/Mul_1,Mul,4096.0,0.0,,,4096.0,0.0,,,,1x1x4096,1x1x4096,4096,4096.0,4096.0,4096.0,8192.0,,,,,
/model/layers.18/self_attn/Shape,Shape,0.0,0.0,,,0.0,0.0,,,,1x1x4096,3,,4096.0,0.0,3.0,8192.0,,,,,
